predictwallstreet,Rank=0.0
predictwallstreet,Daily Page Views Per Visitor=3.0
howthemarketworks,Rank=0.0
howthemarketworks,Daily Page Views Per Visitor=4.0
cio-com,Rank=0.0
cio-com,Daily Page Views Per Visitor=0.0
stocknod,Rank=0.0
stocknod,Daily Page Views Per Visitor=0.0
investopedia,Rank=0.0
investopedia,Daily Page Views Per Visitor=1.0
streetinsider-com,Rank=0.0
streetinsider-com,Daily Page Views Per Visitor=1.0
renewable-energy-world,Rank=0.0
renewable-energy-world,Daily Page Views Per Visitor=1.0
finapps-forbes-com,Rank=0.0
finapps-forbes-com,Daily Page Views Per Visitor=3.0
ycharts-com,Rank=0.0
ycharts-com,Daily Page Views Per Visitor=2.0
marketwatch,Rank=0.0
marketwatch,Daily Page Views Per Visitor=2.0
minyanville,Rank=0.0
minyanville,Daily Page Views Per Visitor=1.0
bostonmerchant,Rank=0.0
bostonmerchant,Daily Page Views Per Visitor=3.0
tmx-quotemedia,Rank=0.0
tmx-quotemedia,Daily Page Views Per Visitor=4.0
barrons,Rank=0.0
barrons,Daily Page Views Per Visitor=1.0
boston-com,Rank=0.0
boston-com,Daily Page Views Per Visitor=1.0
stockpickr,Rank=0.0
stockpickr,Daily Page Views Per Visitor=1.0
raymond-james,Rank=0.0
raymond-james,Daily Page Views Per Visitor=1.0
cnn-money,Rank=0.0
cnn-money,Daily Page Views Per Visitor=2.0
foxbusiness,Rank=0.0
foxbusiness,Daily Page Views Per Visitor=1.0
simple-stock-quotes,Rank=0.0
simple-stock-quotes,Daily Page Views Per Visitor=1.0
business-insider,Rank=0.0
business-insider,Daily Page Views Per Visitor=1.0
fool,Rank=0.0
fool,Daily Page Views Per Visitor=1.0
financial-content,Rank=0.0
financial-content,Daily Page Views Per Visitor=3.0
advfn,Rank=0.0
advfn,Daily Page Views Per Visitor=10.0
thestree,Rank=0.0
thestree,Daily Page Views Per Visitor=2.0
updown,Rank=0.0
updown,Daily Page Views Per Visitor=3.0
eresearch-fidelity-com,Rank=0.0
eresearch-fidelity-com,Daily Page Views Per Visitor=7.0
stocksmart,Daily Page Views Per Visitor=3.0
stocksmart,Daily Time on Site=1.0
insidestocks,Rank=0.0
insidestocks,Daily Page Views Per Visitor=3.0
finance-abc7chicago-com,Rank=0.0
finance-abc7chicago-com,Daily Page Views Per Visitor=0.0
finance-abc7-com,Rank=0.0
finance-abc7-com,Daily Page Views Per Visitor=1.0
chron,Rank=0.0
chron,Daily Page Views Per Visitor=1.0
finviz,Rank=0.0
finviz,Daily Page Views Per Visitor=6.0
tickerspy,Daily Page Views Per Visitor=0.0
tickerspy,Daily Time on Site=0.0
investorguide,Rank=0.0
investorguide,Daily Page Views Per Visitor=1.0
hpcwire,Rank=0.0
hpcwire,Daily Page Views Per Visitor=1.0
stocktwits,Rank=0.0
stocktwits,Daily Page Views Per Visitor=3.0
barchart,Rank=0.0
barchart,Daily Page Views Per Visitor=3.0
zacks,Rank=0.0
zacks,Daily Page Views Per Visitor=2.0
wallstreetsurvivor,Rank=0.0
wallstreetsurvivor,Daily Page Views Per Visitor=2.0
